"link_or_handle","csvId","langs","social_media_type","extracted_from_col","name","account","extracted_from_file"
"handle","0","['english', 'pashto', 'persian']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbKabul","ChinaSocialMedia20200928.xlsx"
"handle","1","['english', 'albanian', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaembassyT","ChinaSocialMedia20200928.xlsx"
"handle","2","['portuguese', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbAngola","ChinaSocialMedia20200928.xlsx"
"handle","3","['spanish', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbArg","ChinaSocialMedia20200928.xlsx"
"handle","4","['english', 'german', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","chinaembaustria","ChinaSocialMedia20200928.xlsx"
"handle","5","['portuguese', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbaixadaChina","ChinaSocialMedia20200928.xlsx"
"handle","6","['french', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","AmbChineBurundi","ChinaSocialMedia20200928.xlsx"
"handle","7","['english', 'french', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","AmbChineCmr","ChinaSocialMedia20200928.xlsx"
"handle","8","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbOttawa","ChinaSocialMedia20200928.xlsx"
"handle","9","['french', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ambchinetchad","ChinaSocialMedia20200928.xlsx"
"handle","10","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbajada","ChinaSocialMedia20200928.xlsx"
"handle","11","['spanish', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","china_embajada","ChinaSocialMedia20200928.xlsx"
"handle","12","['english', 'spanish', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbChinaCuba","ChinaSocialMedia20200928.xlsx"
"handle","13","['czech', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbinCZ","ChinaSocialMedia20200928.xlsx"
"handle","14","['french', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","AmbCHINEenRDC","ChinaSocialMedia20200928.xlsx"
"handle","15","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaInDenmark","ChinaSocialMedia20200928.xlsx"
"handle","16","['french', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineAmbDjibout","ChinaSocialMedia20200928.xlsx"
"handle","17","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbajadaRD","ChinaSocialMedia20200928.xlsx"
"handle","18","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbajadaChinaEc","ChinaSocialMedia20200928.xlsx"
"handle","19","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbajadaChinaSV","ChinaSocialMedia20200928.xlsx"
"handle","20","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbChinaGE","ChinaSocialMedia20200928.xlsx"
"handle","21","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbAddis","ChinaSocialMedia20200928.xlsx"
"handle","22","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEUMission","ChinaSocialMedia20200928.xlsx"
"handle","23","['french', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","AmbassadeChine","ChinaSocialMedia20200928.xlsx"
"handle","24","['german', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbGermany","ChinaSocialMedia20200928.xlsx"
"handle","25","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbinGH","ChinaSocialMedia20200928.xlsx"
"handle","26","['french', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","chine_guinee","ChinaSocialMedia20200928.xlsx"
"handle","27","['hungarian', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbinHU","ChinaSocialMedia20200928.xlsx"
